content_volume,knowledge_application,content_del_pace,planning_tools,fac_preparedness,fac_qna,fac_experience,fac_knowledge,faci_ppt_attn,workshop_interest,content_ease,content_relevance,content_relevance_org,prac_q
Just right,Agree,Just right,Gantt Chart,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Just right,Agree,Just right,Gantt Chart,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Just right,Agree,Just right,Network Diagram,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral
Just right,Agree,Just right,WBS (Work Breakdown Structure),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Too little information,Agree,Just right,WBS (Work Breakdown Structure),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Just right,Strongly agree,Just right,Gantt Chart,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree
Just right,Agree,Just right,WBS (Work Breakdown Structure),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Just right,Agree,Just right,Network Diagram,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral
Just right,Agree,Just right,Network Diagram,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
Just right,Agree,Just right,WBS (Work Breakdown Structure),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree
Just right,Strongly agree,Too slow,WBS (Work Breakdown Structure),Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree
