facilitator_Comments,polarity
Awesome!,1.0
nothing :) ,0.5
can't think of anything right now,0.2857142857142857
I enjoyed the sense of camaraderie that was created in the workshop...we are all in this together.,0.5
Everyone is well trained,0.0
"Nice, open and very easy going! ",0.43472222222222223
Nil,0.0
Facilitators were very knowledgeable and great at answering questions.,0.5
"They were great, they did not pressure the attendees to talk much or to have to answer any particular question.",0.3888888888888889
Thank you.,0.0
